training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7609015,-7.7609015,0.10234842,1.0,0.06351215,-0.04600847,1.6365681,7.7716475,-7.7716475,0.10503475,1.0,0.04952546877861023,247.62735533714294,5000
7.706977,-7.706977,0.08886721,1.0,0.052443247,-0.062495854,1.3978827,7.7296734,-7.7296734,0.0945414,1.0,0.0006935435771942139,251.0950767993927,10000
7.669656,-7.669656,0.07953694,1.0,0.053959772,-0.05149943,1.2861618,7.7154098,-7.7154098,0.09097544,1.0,0.0006945224285125732,254.56769251823425,15000
7.669075,-7.669075,0.079391666,1.0,0.040918022,-0.045180287,1.2428439,7.70422,-7.70422,0.08817783,1.0,0.0006939065456390381,258.0372290611267,20000
7.63737,-7.63737,0.07146549,1.0,0.057074428,-0.039982397,1.2055222,7.6908627,-7.6908627,0.08483857,1.0,0.0006965564727783203,261.52001452445984,25000
7.6475945,-7.6475945,0.07402156,1.0,0.05893458,-0.03667167,1.1625421,7.7002573,-7.7002573,0.08718733,1.0,0.0006954554557800293,264.9973006248474,30000
7.6341715,-7.6341715,0.07066586,1.0,0.038992833,-0.055224374,1.1183683,7.688072,-7.688072,0.084141016,1.0,0.0006961796283721924,268.47820234298706,35000
7.6379614,-7.6379614,0.07161326,1.0,0.039546993,-0.04406263,1.1725907,7.7041225,-7.7041225,0.08815357,1.0,0.0006959004402160645,271.95770835876465,40000
7.637499,-7.637499,0.07149777,1.0,0.044116456,-0.036055733,1.1045696,7.688782,-7.688782,0.08431849,1.0,0.0006953478336334228,275.434451341629,45000
7.6266737,-7.6266737,0.06879141,1.0,0.03738202,-0.04394204,1.0275139,7.669027,-7.669027,0.079379655,1.0,0.0006996047496795654,278.9324789047241,50000
7.602193,-7.602193,0.062671155,1.0,0.043598704,-0.03745245,1.0295876,7.680785,-7.680785,0.08231918,1.0,0.0006946087837219238,282.40552616119385,55000
7.6148357,-7.6148357,0.06583189,1.0,0.047440242,-0.04969421,1.1826711,7.6721325,-7.6721325,0.08015615,1.0,0.0006975173950195312,285.8931164741516,60000
7.616849,-7.616849,0.066335216,1.0,0.048529882,-0.054648466,1.0642726,7.6644797,-7.6644797,0.07824289,1.0,0.0006945483684539795,289.3658621311188,65000
7.6192627,-7.6192627,0.06693868,1.0,0.0308684,-0.094331235,1.0708482,7.681403,-7.681403,0.0824737,1.0,0.0006962380886077881,292.847056388855,70000
7.6043606,-7.6043606,0.06321307,1.0,0.046903063,-0.065237604,1.1290603,7.6742783,-7.6742783,0.08069255,1.0,0.0007004884719848633,296.349502325058,75000
7.6080837,-7.6080837,0.06414385,1.0,0.04879167,-0.044858035,1.1465613,7.6652145,-7.6652145,0.07842669,1.0,0.000695175838470459,299.8253848552704,80000
7.602795,-7.602795,0.06282178,1.0,0.043165974,-0.0790004,1.0263743,7.688576,-7.688576,0.08426696,1.0,0.0006964518547058105,303.3076481819153,85000
7.605071,-7.605071,0.06339066,1.0,0.05296404,-0.044442087,0.97707355,7.6522493,-7.6522493,0.07518528,1.0,0.0006929896831512451,306.77259969711304,90000
7.6086597,-7.6086597,0.06428781,1.0,0.07072657,-0.03794101,1.1382631,7.6747932,-7.6747932,0.080821335,1.0,0.0006946577072143554,310.2458918094635,95000
7.595643,-7.595643,0.061033677,1.0,0.040176764,-0.04621735,1.1121112,7.6712103,-7.6712103,0.07992545,1.0,0.0006970171451568604,313.7309823036194,100000
7.607031,-7.607031,0.06388075,1.0,0.08710771,-0.050895628,1.2163354,7.710697,-7.710697,0.08979727,1.0,0.03981291308403015,512.7955513000488,105000
