training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
5.93062,-5.93062,0.29349068,0.53198373,1.4605055,-2.1697388,75.29095,6.079384,-6.079384,0.30049393,0.530452,0.08116079277992248,405.8039743900299,5000
3.183881,-3.183881,0.16329652,0.38268858,1.8454257,-3.123166,112.47758,3.7567308,-3.7567308,0.17385313,0.3905007,0.0008504016399383545,410.05598640441895,10000
1.8381519,-1.8381519,0.12050237,0.3273695,2.195352,-2.0755684,101.902565,2.446033,-2.446033,0.13992608,0.32827872,0.0007967201709747314,414.0395908355713,15000
1.0426495,-1.0426495,0.102040805,0.29988503,2.7375476,-2.8916578,112.40559,1.5889752,-1.5889752,0.10864468,0.3086477,0.0007940775394439698,418.009982585907,20000
1.1727309,-1.1727309,0.10441061,0.28596416,3.2262592,-2.8320904,115.474464,1.3367971,-1.3367971,0.106141075,0.29022595,0.0013226830005645751,424.62340116500854,25000
1.1451987,-1.1451987,0.09991006,0.28490973,5.6692023,-3.1946008,124.79052,1.0364304,-1.0364304,0.09436691,0.28695014,0.0007934780597686768,428.5907952785492,30000
0.93244565,-0.93244565,0.09472047,0.28726375,1.431296,-2.133422,96.125916,0.9558675,-0.9558675,0.09378712,0.29081398,0.0007890027046203613,432.5358121395111,35000
0.010244098,-0.010244098,0.07415803,0.27531013,2.2661078,-2.431585,85.61447,1.3493434,-1.3493434,0.099499956,0.27896008,0.0007931836128234863,436.5017342567444,40000
0.6283711,-0.6283711,0.09212185,0.2811628,3.9981968,-4.3197803,113.85741,0.80565417,-0.80565417,0.08787453,0.2737062,0.0008442502498626709,440.72298884391785,45000
0.37429345,-0.37429345,0.08483441,0.2741577,2.1773014,-2.7651203,91.70427,0.49950498,-0.49950498,0.08307828,0.26790518,0.0007891234397888184,444.6686098575592,50000
0.09847905,-0.09847905,0.08246587,0.26274806,2.4788876,-3.3343325,94.95771,0.19524151,-0.19524151,0.079107516,0.26598787,0.0007921602249145508,448.6294147968292,55000
0.1909657,-0.1909657,0.07981898,0.27383476,2.3444986,-2.4759624,89.47845,0.49849245,-0.49849245,0.08618613,0.27587196,0.002992152976989746,463.5901834964752,60000
0.28253704,-0.28253704,0.08243455,0.2585703,4.7031,-11.446582,140.80461,0.38725728,-0.38725728,0.082137465,0.2728976,0.0007931344032287598,467.5558590888977,65000
-0.06438775,0.06438775,0.07546173,0.2576748,3.2337463,-5.5663023,119.114586,0.31060997,-0.31060997,0.07927929,0.25496447,0.0008569873809814453,471.8407995700836,70000
-0.13168137,0.13168137,0.0741676,0.25131625,2.9921381,-2.5997941,96.66977,1.0113821,-1.0113821,0.09182267,0.26575476,0.0007920695781707764,475.8011510372162,75000
-0.15846795,0.15846795,0.074221075,0.2521915,2.9369497,-3.5763423,101.20345,0.9371084,-0.9371084,0.08640356,0.2563085,0.008653161239624023,519.0669615268707,80000
-0.251386,0.251386,0.073176734,0.25893718,2.3887434,-2.9152126,94.037865,0.071813025,-0.071813025,0.07528341,0.2639779,0.0007933134078979492,523.0335321426392,85000
-0.6862196,0.6862196,0.06556584,0.24562448,3.8083503,-3.528833,92.379036,0.44622105,-0.44622105,0.080397055,0.24660099,0.0007916684627532959,526.9918785095215,90000
-0.23191175,0.23191175,0.07463715,0.25375926,2.2888854,-3.5394514,101.67409,0.6754873,-0.6754873,0.086691275,0.25921303,0.0008420144081115723,531.2019553184509,95000
-0.46257374,0.46257374,0.07012993,0.25592157,2.5008802,-3.2406676,94.148224,0.26729387,-0.26729387,0.080581605,0.2617296,0.0007914963722229004,535.1594409942627,100000
-0.31120855,0.31120855,0.0699503,0.24193099,2.5640666,-4.366666,103.70772,0.52447164,-0.52447164,0.08574189,0.24585101,0.06505112724304199,860.4150805473328,105000
-0.41235283,0.41235283,0.07098976,0.23950562,6.490634,-3.0396469,109.688446,-0.028033808,0.028033808,0.07466048,0.23640361,0.0008738021373748779,864.7840948104858,110000
-0.59682405,0.59682405,0.07174592,0.2442205,3.3302467,-3.8169537,107.67523,0.0956,-0.0956,0.07482377,0.24728277,0.0008752143383026123,869.1601703166962,115000
