training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7133107,-7.7133107,0.090450674,1.0,0.069306225,-0.0737605,1.9936609,7.746917,-7.746917,0.09885212,1.0,0.049566994047164914,247.8349802494049,5000
7.666338,-7.666338,0.07870746,1.0,0.08774935,-0.09406749,1.6357144,7.6842813,-7.6842813,0.08319318,1.0,0.0007099893569946289,251.38493013381958,10000
7.6519136,-7.6519136,0.07510141,1.0,0.063396774,-0.10204634,1.4915683,7.6506524,-7.6506524,0.07478614,1.0,0.000713413953781128,254.9520034790039,15000
7.615981,-7.615981,0.06611817,1.0,0.07527597,-0.051674232,1.3176411,7.6392746,-7.6392746,0.07194157,1.0,0.0007117752552032471,258.5108833312988,20000
7.624934,-7.624934,0.06835647,1.0,0.04822837,-0.057220872,1.2032429,7.673012,-7.673012,0.080375895,1.0,0.0007187976360321044,262.1048903465271,25000
7.6096506,-7.6096506,0.06453551,1.0,0.08214791,-0.056708496,1.3053678,7.653486,-7.653486,0.07549443,1.0,0.000715824556350708,265.68401765823364,30000
7.598176,-7.598176,0.061667085,1.0,0.081510544,-0.07349398,1.3099742,7.6557345,-7.6557345,0.076056555,1.0,0.000711529779434204,269.2416696548462,35000
7.6049423,-7.6049423,0.063358545,1.0,0.07814896,-0.07691665,1.236733,7.6495132,-7.6495132,0.0745013,1.0,0.0007117056369781495,272.8002016544342,40000
7.5793877,-7.5793877,0.056969874,1.0,0.060424104,-0.09816361,1.2295122,7.6658993,-7.6658993,0.0785979,1.0,0.0007172343730926514,276.386376619339,45000
7.5974855,-7.5974855,0.06149428,1.0,0.060436122,-0.055485513,1.1643183,7.6552005,-7.6552005,0.07592306,1.0,0.0007129295349121093,279.9510278701782,50000
7.5809393,-7.5809393,0.05735786,1.0,0.059529588,-0.09309126,1.2842085,7.632632,-7.632632,0.070280895,1.0,0.0007079143524169922,283.49060344696045,55000
7.5845737,-7.5845737,0.058266424,1.0,0.07057416,-0.06776911,1.2792879,7.631361,-7.631361,0.06996319,1.0,0.0007103355407714843,287.0422842502594,60000
7.584833,-7.584833,0.05833122,1.0,0.067042395,-0.1344175,1.3453708,7.6530027,-7.6530027,0.07537357,1.0,0.0007140261173248291,290.6124186515808,65000
7.5694637,-7.5694637,0.054488935,1.0,0.07460087,-0.07105375,1.3221203,7.6333513,-7.6333513,0.07046074,1.0,0.0007134329319000244,294.1795868873596,70000
7.5806093,-7.5806093,0.05727531,1.0,0.090895936,-0.069068074,1.1678611,7.620843,-7.620843,0.067333736,1.0,0.0007149172306060791,297.75417709350586,75000
7.5942926,-7.5942926,0.06069604,1.0,0.09512658,-0.08383794,1.3374722,7.6068583,-7.6068583,0.06383751,1.0,0.0007190863132476807,301.34961199760437,80000
7.5671625,-7.5671625,0.053913612,1.0,0.049630817,-0.07676742,1.122145,7.6460958,-7.6460958,0.07364686,1.0,0.000714001178741455,304.91962122917175,85000
7.5830393,-7.5830393,0.057882812,1.0,0.07958374,-0.059738696,1.224948,7.6294794,-7.6294794,0.06949283,1.0,0.000714237642288208,308.4908127784729,90000
7.561956,-7.561956,0.05261199,1.0,0.070457056,-0.07751396,1.1529533,7.624292,-7.624292,0.06819588,1.0,0.0007087202548980713,312.03441762924194,95000
7.567245,-7.567245,0.053934265,1.0,0.08461071,-0.077341,1.2244458,7.6650343,-7.6650343,0.07838154,1.0,0.0007102630138397217,315.5857365131378,100000
7.5606794,-7.5606794,0.052292757,1.0,0.075034365,-0.07987306,1.3219565,7.6335063,-7.6335063,0.07049948,1.0,0.04579662566184998,544.5688688755035,105000
7.5755634,-7.5755634,0.056013778,1.0,0.10936181,-0.07709071,1.3547747,7.648904,-7.648904,0.07434885,1.0,0.0007404416561126709,548.2710807323456,110000
7.568755,-7.568755,0.054311786,1.0,0.054979425,-0.07172015,1.180647,7.634647,-7.634647,0.07078475,1.0,0.0007410260677337647,551.9762144088745,115000
7.5574627,-7.5574627,0.05148864,1.0,0.12075507,-0.063583285,1.3169837,7.662092,-7.662092,0.07764614,1.0,0.0007349736213684082,555.6510863304138,120000
7.5716963,-7.5716963,0.055047102,1.0,0.09913363,-0.08422404,1.3719244,7.646725,-7.646725,0.07380421,1.0,0.0007387645721435547,559.3449125289917,125000
7.5647373,-7.5647373,0.0533074,1.0,0.06537968,-0.11789789,1.2262692,7.65313,-7.65313,0.07540551,1.0,0.0007414206027984619,563.0520188808441,130000
7.564153,-7.564153,0.053161256,1.0,0.08852617,-0.051110446,1.1659597,7.6436005,-7.6436005,0.073023036,1.0,0.0007348686695098877,566.7263658046722,135000
7.565183,-7.565183,0.053418785,1.0,0.08388557,-0.085625894,1.3270028,7.6273737,-7.6273737,0.06896629,1.0,0.0007351404190063476,570.4020717144012,140000
7.558927,-7.558927,0.051854663,1.0,0.06245725,-0.07802951,1.2540293,7.6469526,-7.6469526,0.07386112,1.0,0.0007362378120422363,574.0832641124725,145000
7.559964,-7.559964,0.052113917,1.0,0.06324785,-0.06400351,1.2443137,7.642572,-7.642572,0.07276597,1.0,0.0007334308624267578,577.7504222393036,150000
7.548338,-7.548338,0.04920747,1.0,0.08339535,-0.075329244,1.2166623,7.658888,-7.658888,0.07684492,1.0,0.0007351210594177246,581.4260308742523,155000
7.54692,-7.54692,0.048852928,1.0,0.17993231,-0.063117,1.2619377,7.633731,-7.633731,0.070555665,1.0,0.0007421619892120361,585.1368441581726,160000
7.563799,-7.563799,0.053072665,1.0,0.084106065,-0.056662682,1.2230132,7.65361,-7.65361,0.07552555,1.0,0.0007345917701721192,588.8098065853119,165000
7.56177,-7.56177,0.052565474,1.0,0.08144422,-0.07694273,1.2650294,7.649976,-7.649976,0.074616835,1.0,0.0007374701499938965,592.4971604347229,170000
7.5614443,-7.5614443,0.05248406,1.0,0.07536639,-0.111644745,1.290947,7.6575465,-7.6575465,0.076509655,1.0,0.0007374936580657958,596.1846323013306,175000
7.5513563,-7.5513563,0.049961947,1.0,0.1181143,-0.0573694,1.2874314,7.651601,-7.651601,0.075023115,1.0,0.0007401997089385987,599.8856344223022,180000
7.567585,-7.567585,0.054019287,1.0,0.06645063,-0.058019694,1.1931403,7.6534586,-7.6534586,0.07548762,1.0,0.0007419529914855957,603.5954027175903,185000
7.555903,-7.555903,0.051098756,1.0,0.09484687,-0.053674523,1.2173591,7.6760826,-7.6760826,0.0811436,1.0,0.0007363867282867432,607.2773404121399,190000
7.569517,-7.569517,0.054502346,1.0,0.18016893,-0.061997235,1.4125164,7.630666,-7.630666,0.06978936,1.0,0.0007422341823577881,610.9885144233704,195000
7.556365,-7.556365,0.051214226,1.0,0.059814837,-0.12292206,1.3649428,7.6309147,-7.6309147,0.06985174,1.0,0.0007333418369293213,614.6552269458771,200000
