training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.720911,-7.720911,0.092350736,1.0,0.102330215,-0.09667656,2.0724099,7.727726,-7.727726,0.094054446,1.0,0.049642920207977295,248.21461129188538,5000
7.667936,-7.667936,0.0791069,1.0,0.08427486,-0.075066954,1.5107718,7.6957154,-7.6957154,0.08605177,1.0,0.0007002320289611816,251.71577501296997,10000
7.643849,-7.643849,0.07308517,1.0,0.072133966,-0.067524485,1.5957359,7.670075,-7.670075,0.07964167,1.0,0.0006964226245880127,255.1978919506073,15000
7.6288395,-7.6288395,0.0693328,1.0,0.09078314,-0.08028839,1.5098532,7.662942,-7.662942,0.07785854,1.0,0.0007025166511535645,258.71047830581665,20000
7.631895,-7.631895,0.07009669,1.0,0.08055474,-0.072936825,1.4016147,7.6501656,-7.6501656,0.074664325,1.0,0.0006996144294738769,262.20855355262756,25000
7.611712,-7.611712,0.06505099,1.0,0.07738831,-0.058673825,1.2320181,7.6431484,-7.6431484,0.07291008,1.0,0.0006961061954498291,265.6890878677368,30000
7.6067605,-7.6067605,0.063813046,1.0,0.06783028,-0.050728284,1.255718,7.6455555,-7.6455555,0.0735119,1.0,0.0007021973133087158,269.20007729530334,35000
7.6242313,-7.6242313,0.06818086,1.0,0.064680114,-0.07252706,1.3478755,7.641013,-7.641013,0.07237625,1.0,0.0006965524673461914,272.6828429698944,40000
7.5992336,-7.5992336,0.061931394,1.0,0.08556937,-0.06348355,1.1987038,7.6333685,-7.6333685,0.070465036,1.0,0.0006969453811645508,276.1675727367401,45000
7.593468,-7.593468,0.06048998,1.0,0.070800975,-0.11431893,1.297684,7.6395054,-7.6395054,0.07199933,1.0,0.0007088576793670654,279.71186447143555,50000
7.572033,-7.572033,0.055131163,1.0,0.09129885,-0.0474406,1.1098584,7.64901,-7.64901,0.07437549,1.0,0.0006962699890136719,283.193217754364,55000
7.572793,-7.572793,0.055321187,1.0,0.045771983,-0.080597214,1.0607183,7.6540637,-7.6540637,0.07563885,1.0,0.0006974736213684082,286.68058943748474,60000
7.573877,-7.573877,0.05559213,1.0,0.09001066,-0.06514372,1.3123593,7.64595,-7.64595,0.073610395,1.0,0.0006990633487701415,290.17590951919556,65000
7.583305,-7.583305,0.057949178,1.0,0.057615593,-0.0552859,1.1444753,7.6374354,-7.6374354,0.07148185,1.0,0.0007019400596618653,293.68561339378357,70000
7.576521,-7.576521,0.056253172,1.0,0.09269403,-0.067294054,1.228948,7.639947,-7.639947,0.07210977,1.0,0.000700734806060791,297.1892910003662,75000
7.570815,-7.570815,0.054826774,1.0,0.08267197,-0.054772373,1.2109591,7.6472964,-7.6472964,0.07394707,1.0,0.0006972429752349854,300.67550897598267,80000
