training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7552376,-7.7552376,0.100932285,1.0,0.10929431,-0.111992046,2.1388674,7.7915015,-7.7915015,0.109998345,1.0,0.05015307612419129,250.76539063453674,5000
7.689533,-7.689533,0.08450629,1.0,0.09076247,-0.11342091,1.7582045,7.73633,-7.73633,0.09620547,1.0,0.0006926901340484619,254.22884488105774,10000
7.6696777,-7.6696777,0.07954233,1.0,0.13442348,-0.055997662,1.4230009,7.7301598,-7.7301598,0.09466292,1.0,0.000687548303604126,257.6665897369385,15000
7.657131,-7.657131,0.07640563,1.0,0.15769815,-0.054514084,1.3366724,7.7042427,-7.7042427,0.08818355,1.0,0.0006903851509094238,261.1185190677643,20000
7.6463537,-7.6463537,0.07371144,1.0,0.08769273,-0.10874315,1.7033771,7.7077,-7.7077,0.08904791,1.0,0.0006934904098510743,264.58597469329834,25000
7.6455173,-7.6455173,0.07350233,1.0,0.094080165,-0.09442727,1.4386166,7.691368,-7.691368,0.084965,1.0,0.000690779161453247,268.03987407684326,30000
7.6123643,-7.6123643,0.065214075,1.0,0.10949196,-0.07662475,1.4145744,7.6829996,-7.6829996,0.08287278,1.0,0.0006929608821868897,271.50468158721924,35000
7.637179,-7.637179,0.07141775,1.0,0.22327802,-0.14263938,1.8559729,7.675936,-7.675936,0.08110709,1.0,0.0006910690784454346,274.9600303173065,40000
7.639676,-7.639676,0.07204208,1.0,0.2174352,-0.13167998,1.6406546,7.690303,-7.690303,0.08469874,1.0,0.000693611478805542,278.4280915260315,45000
7.6125317,-7.6125317,0.06525593,1.0,0.1639559,-0.10102787,1.6358938,7.664566,-7.664566,0.07826443,1.0,0.0006905058383941651,281.880624294281,50000
7.608061,-7.608061,0.064138144,1.0,0.10494872,-0.14070484,1.46063,7.68422,-7.68422,0.083178006,1.0,0.000692095136642456,285.341103553772,55000
7.60258,-7.60258,0.06276798,1.0,0.11487067,-0.076769896,1.335813,7.6692033,-7.6692033,0.07942382,1.0,0.0006894642829895019,288.78842854499817,60000
7.6053963,-7.6053963,0.06347202,1.0,0.09084647,-0.09245413,1.4038345,7.6684556,-7.6684556,0.079236895,1.0,0.0006923713684082031,292.2502884864807,65000
7.600169,-7.600169,0.062165327,1.0,0.27448305,-0.18133886,1.9421374,7.692083,-7.692083,0.08514365,1.0,0.0006920693397521973,295.7106387615204,70000
7.595845,-7.595845,0.061084196,1.0,0.10774401,-0.14567234,1.3410807,7.6749105,-7.6749105,0.08085053,1.0,0.0006881782531738282,299.15153336524963,75000
7.5962663,-7.5962663,0.06118954,1.0,0.06592033,-0.104549,1.3365802,7.6613865,-7.6613865,0.07746966,1.0,0.0006907959938049316,302.60551714897156,80000
7.6008654,-7.6008654,0.062339343,1.0,0.23088676,-0.2027239,1.7672039,7.671427,-7.671427,0.0799796,1.0,0.0006918764591217041,306.06490302085876,85000
7.582988,-7.582988,0.05786983,1.0,0.13104482,-0.14749873,1.3400723,7.663417,-7.663417,0.07797706,1.0,0.0006880200386047363,309.5050070285797,90000
7.614904,-7.614904,0.06584895,1.0,0.26530367,-0.13373384,1.5616881,7.6656475,-7.6656475,0.07853493,1.0,0.000687507963180542,312.94254994392395,95000
7.5922947,-7.5922947,0.06019666,1.0,0.12337085,-0.17228542,1.629994,7.6652737,-7.6652737,0.07844131,1.0,0.0006941412448883057,316.4132595062256,100000
7.5961256,-7.5961256,0.06115444,1.0,0.09154157,-0.075142324,1.3073785,7.6526785,-7.6526785,0.07529269,1.0,0.04406318759918213,536.7292013168335,105000
7.5839396,-7.5839396,0.058107883,1.0,0.096936814,-0.116648965,1.4092839,7.657184,-7.657184,0.07641897,1.0,0.0007209881782531738,540.334145784378,110000
7.573246,-7.573246,0.055434436,1.0,0.107434876,-0.096062385,1.4322609,7.6667433,-7.6667433,0.0788088,1.0,0.0007234099864959717,543.9511995315552,115000
7.595911,-7.595911,0.06110075,1.0,0.1395614,-0.16477698,1.5147313,7.6588335,-7.6588335,0.076831385,1.0,0.0007234302520751953,547.5683546066284,120000
7.5876865,-7.5876865,0.05904467,1.0,0.10778401,-0.06493877,1.4687766,7.652852,-7.652852,0.07533598,1.0,0.0007198055744171143,551.1673860549927,125000
7.5844812,-7.5844812,0.05824329,1.0,0.120368816,-0.07967274,1.2898294,7.665675,-7.665675,0.07854172,1.0,0.0007224308013916016,554.7795436382294,130000
7.5879183,-7.5879183,0.059102513,1.0,0.15126054,-0.08134904,1.4289659,7.668564,-7.668564,0.07926397,1.0,0.0007233546257019043,558.3963205814362,135000
7.589731,-7.589731,0.059555866,1.0,0.10982792,-0.08927338,1.391409,7.661822,-7.661822,0.07757844,1.0,0.0007223651885986328,562.0081498622894,140000
7.575628,-7.575628,0.056029856,1.0,0.121353745,-0.1067584,1.393842,7.6710606,-7.6710606,0.07988815,1.0,0.0007196260929107665,565.6062836647034,145000
7.574259,-7.574259,0.05568772,1.0,0.18293557,-0.08672372,1.4220397,7.6642094,-7.6642094,0.07817538,1.0,0.0007223506450653077,569.2180404663086,150000
7.5694304,-7.5694304,0.054480538,1.0,0.18438044,-0.15951689,1.489848,7.67276,-7.67276,0.08031303,1.0,0.0007226467132568359,572.83127784729,155000
7.573835,-7.573835,0.055581674,1.0,0.062000394,-0.08339227,1.3557765,7.6615,-7.6615,0.077497974,1.0,0.0007204679012298583,576.4336206912994,160000
7.582753,-7.582753,0.057811305,1.0,0.077761374,-0.07587478,1.3731474,7.6788177,-7.6788177,0.08182727,1.0,0.0007224899768829346,580.0460741519928,165000
