training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7207623,-7.7207623,0.09231353,1.0,0.07936846,-0.104725964,2.0027378,7.739452,-7.739452,0.09698589,1.0,0.0499897078037262,249.94854974746704,5000
7.6519175,-7.6519175,0.07510233,1.0,0.0559271,-0.06695082,1.5263472,7.674825,-7.674825,0.08082932,1.0,0.0007486311912536621,253.69170904159546,10000
7.6311755,-7.6311755,0.06991678,1.0,0.050270103,-0.08002848,1.3279303,7.6971045,-7.6971045,0.086399056,1.0,0.0007127727508544922,257.255576133728,15000
7.627526,-7.627526,0.06900443,1.0,0.06035562,-0.056701116,1.379577,7.646772,-7.646772,0.07381597,1.0,0.0007083944320678711,260.7975513935089,20000
7.6322756,-7.6322756,0.070191965,1.0,0.09943623,-0.050883893,1.3416262,7.665696,-7.665696,0.078547105,1.0,0.0007097891807556153,264.3465008735657,25000
7.6079555,-7.6079555,0.064111836,1.0,0.048940837,-0.08037913,1.4176545,7.6954265,-7.6954265,0.08597957,1.0,0.0007084046840667725,267.88852739334106,30000
7.607119,-7.607119,0.06390274,1.0,0.07392525,-0.049414307,1.1642803,7.661718,-7.661718,0.077552475,1.0,0.0007081616401672363,271.4293394088745,35000
7.601572,-7.601572,0.06251597,1.0,0.063870974,-0.058138534,1.3522356,7.6622066,-7.6622066,0.07767455,1.0,0.0007106840133666992,274.9827630519867,40000
7.60033,-7.60033,0.06220539,1.0,0.058869995,-0.073320955,1.2169868,7.6411934,-7.6411934,0.07242127,1.0,0.0007069392204284668,278.5174629688263,45000
7.5933,-7.5933,0.060447916,1.0,0.07148772,-0.056352124,1.1449479,7.6305914,-7.6305914,0.06977075,1.0,0.0007165533542633056,282.10023283958435,50000
7.593431,-7.593431,0.060480688,1.0,0.10795581,-0.09039253,1.3891404,7.6514525,-7.6514525,0.074986055,1.0,0.0007080531120300293,285.6405017375946,55000
7.58949,-7.58949,0.05949539,1.0,0.06279416,-0.06537209,1.1674662,7.6253533,-7.6253533,0.068461284,1.0,0.000707930850982666,289.1801588535309,60000
7.582217,-7.582217,0.057677314,1.0,0.07007824,-0.057602823,1.197638,7.653779,-7.653779,0.07556774,1.0,0.0007049733638763428,292.7050287723541,65000
7.5748653,-7.5748653,0.055839356,1.0,0.097699836,-0.051300578,1.2140132,7.6710906,-7.6710906,0.07989562,1.0,0.000710390043258667,296.25698232650757,70000
7.578445,-7.578445,0.05673419,1.0,0.048375927,-0.050593562,1.1310996,7.6364384,-7.6364384,0.0712326,1.0,0.0007056214809417724,299.7850925922394,75000
7.5731,-7.5731,0.055398025,1.0,0.09001018,-0.1375889,1.2854408,7.654995,-7.654995,0.07587165,1.0,0.0007104220867156983,303.337206363678,80000
7.5647717,-7.5647717,0.053315945,1.0,0.076068446,-0.06551363,1.2706312,7.6613913,-7.6613913,0.077470705,1.0,0.0007046892166137696,306.86065554618835,85000
7.584137,-7.584137,0.058157146,1.0,0.061080158,-0.09612341,1.3021495,7.6710505,-7.6710505,0.079885595,1.0,0.0007106203079223633,310.4137604236603,90000
7.578558,-7.578558,0.05676233,1.0,0.04958707,-0.045373492,1.1359603,7.6678143,-7.6678143,0.07907658,1.0,0.0007084289073944092,313.95590829849243,95000
7.562663,-7.562663,0.052788675,1.0,0.14698099,-0.12038167,1.2755193,7.650877,-7.650877,0.074842155,1.0,0.0007083274841308593,317.4975485801697,100000
