training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.741426,-7.741426,0.097479425,1.0,0.09561888,-0.044350404,1.9233811,7.77264,-7.77264,0.10528302,1.0,0.049589458179473876,247.94730186462402,5000
7.6937275,-7.6937275,0.08555475,1.0,0.038529247,-0.04271219,1.3350466,7.7138643,-7.7138643,0.09058896,1.0,0.0006983415126800537,251.4390127658844,10000
7.690013,-7.690013,0.08462632,1.0,0.027549857,-0.05109106,1.2439796,7.7144,-7.7144,0.090722896,1.0,0.0007006931781768799,254.9424819946289,15000
7.679482,-7.679482,0.081993386,1.0,0.044792216,-0.07325525,1.3850343,7.6798697,-7.6798697,0.08209044,1.0,0.0006982658863067627,258.43381524086,20000
7.6506014,-7.6506014,0.07477325,1.0,0.036271214,-0.03333004,1.1825068,7.685319,-7.685319,0.083452776,1.0,0.0006988938331604004,261.9282877445221,25000
7.637993,-7.637993,0.071621165,1.0,0.05325156,-0.039286293,1.1432325,7.7003956,-7.7003956,0.087221816,1.0,0.0007040477752685547,265.448529958725,30000
7.627852,-7.627852,0.069085985,1.0,0.07015596,-0.059328653,1.4408357,7.68853,-7.68853,0.08425556,1.0,0.0007045450210571289,268.9712586402893,35000
7.6356955,-7.6356955,0.07104683,1.0,0.045497075,-0.046034127,1.1776423,7.6647644,-7.6647644,0.078314036,1.0,0.0006989242553710937,272.4658832550049,40000
7.631073,-7.631073,0.069891274,1.0,0.036613286,-0.06206285,1.1035823,7.6677523,-7.6677523,0.07906103,1.0,0.0007152826786041259,276.0422999858856,45000
7.6362543,-7.6362543,0.07118651,1.0,0.06237215,-0.068920255,1.1292278,7.692951,-7.692951,0.085360765,1.0,0.0007032701015472412,279.5586543083191,50000
7.6257453,-7.6257453,0.06855929,1.0,0.056796074,-0.051972613,1.2086917,7.701662,-7.701662,0.08753854,1.0,0.0006998838424682617,283.05807757377625,55000
7.613828,-7.613828,0.065579996,1.0,0.03460839,-0.05625334,1.081642,7.6563163,-7.6563163,0.07620208,1.0,0.0006997263431549072,286.55671310424805,60000
7.6093497,-7.6093497,0.06446038,1.0,0.07345012,-0.035196252,1.033407,7.6969337,-7.6969337,0.08635634,1.0,0.0006964100360870361,290.0387668609619,65000
7.6080055,-7.6080055,0.06412439,1.0,0.06217535,-0.04076961,1.0765593,7.7027454,-7.7027454,0.08780947,1.0,0.0006975652694702148,293.5265967845917,70000
7.611293,-7.611293,0.06494619,1.0,0.04169814,-0.056341715,1.1562194,7.6668787,-7.6668787,0.07884255,1.0,0.0006968559265136719,297.0108799934387,75000
7.598552,-7.598552,0.061761044,1.0,0.03935076,-0.047983643,1.062823,7.6850653,-7.6850653,0.08338919,1.0,0.0007024277210235596,300.5230221748352,80000
7.5981627,-7.5981627,0.06166372,1.0,0.07662085,-0.11780937,1.2283936,7.6695557,-7.6695557,0.07951194,1.0,0.0007001469612121582,304.0237605571747,85000
7.613224,-7.613224,0.065428935,1.0,0.072016306,-0.042836666,1.0777502,7.6792126,-7.6792126,0.081925996,1.0,0.0007052743911743164,307.55013632774353,90000
7.624503,-7.624503,0.068248674,1.0,0.04539172,-0.0476991,1.1222538,7.682317,-7.682317,0.08270208,1.0,0.0007066497802734375,311.083389043808,95000
7.587804,-7.587804,0.059073985,1.0,0.052954692,-0.051074743,1.0435461,7.668454,-7.668454,0.07923659,1.0,0.0007082342624664306,314.6245641708374,100000
7.611097,-7.611097,0.06489715,1.0,0.08367091,-0.09565039,1.2426658,7.6848574,-7.6848574,0.08333728,1.0,0.04381194458007812,533.6842906475067,105000
7.5889387,-7.5889387,0.059357636,1.0,0.06822675,-0.05073676,1.1166569,7.6757746,-7.6757746,0.08106659,1.0,0.000732356071472168,537.3460743427277,110000
7.591958,-7.591958,0.060112577,1.0,0.038452078,-0.04707501,1.0900906,7.675709,-7.675709,0.0810502,1.0,0.0007327564239501954,541.0098600387573,115000
7.6052656,-7.6052656,0.063439235,1.0,0.04965141,-0.065732606,1.2212763,7.66209,-7.66209,0.07764537,1.0,0.0007317559242248535,544.6686432361603,120000
7.625306,-7.625306,0.06844947,1.0,0.055063266,-0.0545624,1.1721865,7.6747017,-7.6747017,0.08079845,1.0,0.0007311611652374267,548.3244519233704,125000
7.5995398,-7.5995398,0.062007878,1.0,0.06269719,-0.069577724,1.273208,7.6943526,-7.6943526,0.08571108,1.0,0.0007338746070861816,551.99382853508,130000
7.5961504,-7.5961504,0.061160594,1.0,0.0670105,-0.055358578,1.1400595,7.677923,-7.677923,0.08160383,1.0,0.0007317857265472412,555.6527602672577,135000
7.610766,-7.610766,0.06481446,1.0,0.04075684,-0.07319811,1.1839298,7.6683,-7.6683,0.07919797,1.0,0.0007303575038909912,559.3045516014099,140000
7.5832987,-7.5832987,0.05794768,1.0,0.057107065,-0.06016425,1.1594019,7.706768,-7.706768,0.088814944,1.0,0.0007295728206634522,562.9524190425873,145000
7.583477,-7.583477,0.05799218,1.0,0.06884011,-0.06478918,1.1800224,7.7009497,-7.7009497,0.08736037,1.0,0.000732540225982666,566.6151237487793,150000
7.585593,-7.585593,0.05852139,1.0,0.06471268,-0.05491603,1.1219321,7.6873646,-7.6873646,0.083964154,1.0,0.000734823226928711,570.2892444133759,155000
7.582342,-7.582342,0.057708472,1.0,0.047030076,-0.1303758,1.1321241,7.686365,-7.686365,0.083714336,1.0,0.0007341354370117187,573.9599254131317,160000
7.5996776,-7.5996776,0.062042348,1.0,0.065175794,-0.10210408,1.3628385,7.674518,-7.674518,0.08075243,1.0,0.0007330306529998779,577.6250822544098,165000
7.5957026,-7.5957026,0.061048586,1.0,0.07196485,-0.051418584,1.2361594,7.6628995,-7.6628995,0.077847876,1.0,0.0007274937152862549,581.2625544071198,170000
7.594507,-7.594507,0.060749795,1.0,0.08825379,-0.06366482,1.1999539,7.678942,-7.678942,0.0818585,1.0,0.0007312597274780273,584.9188566207886,175000
7.592678,-7.592678,0.060292523,1.0,0.059433296,-0.07378818,1.2162899,7.6894555,-7.6894555,0.08448686,1.0,0.0007334475040435791,588.5860974788666,180000
7.5875764,-7.5875764,0.05901702,1.0,0.045456767,-0.109707184,1.3546861,7.6480436,-7.6480436,0.07413383,1.0,0.0007310529232025147,592.2413659095764,185000
7.588361,-7.588361,0.059213206,1.0,0.05639497,-0.086250216,1.2230762,7.7205276,-7.7205276,0.09225493,1.0,0.0007323801040649414,595.9032697677612,190000
7.5855217,-7.5855217,0.05850342,1.0,0.08455156,-0.08121517,1.2070804,7.6736345,-7.6736345,0.08053157,1.0,0.0007397318363189697,599.6019322872162,195000
7.582923,-7.582923,0.05785376,1.0,0.062538765,-0.06111321,1.1910309,7.673812,-7.673812,0.08057599,1.0,0.0007349881172180176,603.2768762111664,200000
7.5747004,-7.5747004,0.055798113,1.0,0.07850656,-0.052601866,1.2045213,7.720701,-7.720701,0.09229828,1.0,0.04411605167388916,823.8571379184723,205000
7.5815754,-7.5815754,0.057516795,1.0,0.048303906,-0.079830684,1.2947521,7.66216,-7.66216,0.07766292,1.0,0.0007349681377410888,827.5319821834564,210000
7.584605,-7.584605,0.05827422,1.0,0.07228008,-0.0622798,1.2650136,7.692872,-7.692872,0.08534099,1.0,0.0007342938423156738,831.2034544944763,215000
7.5869803,-7.5869803,0.05886806,1.0,0.05693402,-0.04387278,1.1866977,7.683734,-7.683734,0.08305635,1.0,0.0007367452144622803,834.887184381485,220000
7.588037,-7.588037,0.05913225,1.0,0.080503836,-0.062017754,1.2128751,7.688964,-7.688964,0.084364,1.0,0.000733025074005127,838.5523133277893,225000
7.5807447,-7.5807447,0.05730911,1.0,0.046916682,-0.056873053,1.1910437,7.6721535,-7.6721535,0.08016131,1.0,0.0007336807250976563,842.2207205295563,230000
7.5845737,-7.5845737,0.05826647,1.0,0.04788142,-0.06686251,1.2009096,7.698014,-7.698014,0.086626306,1.0,0.0007348371505737305,845.894909620285,235000
7.5819917,-7.5819917,0.057620905,1.0,0.07325376,-0.07560046,1.2790861,7.684411,-7.684411,0.0832257,1.0,0.0007342995166778564,849.5664110183716,240000
7.581649,-7.581649,0.057535224,1.0,0.066299364,-0.06393539,1.2257525,7.674109,-7.674109,0.08065015,1.0,0.0007338932037353516,853.2358808517456,245000
7.557661,-7.557661,0.051538173,1.0,0.048645873,-0.047599554,1.1391655,7.6903086,-7.6903086,0.08470006,1.0,0.0007437715530395507,856.9547424316406,250000
7.582007,-7.582007,0.05762474,1.0,0.07285039,-0.06489267,1.2729926,7.6960697,-7.6960697,0.08614047,1.0,0.0007326828956604004,860.6181607246399,255000
7.580998,-7.580998,0.05737244,1.0,0.066564,-0.049111746,1.1981068,7.6682425,-7.6682425,0.07918361,1.0,0.0007310667991638184,864.2734982967377,260000
7.5703163,-7.5703163,0.05470199,1.0,0.05996887,-0.05364124,1.2196918,7.69864,-7.69864,0.08678292,1.0,0.0007324515819549561,867.9357597827911,265000
7.5792947,-7.5792947,0.05694659,1.0,0.049752563,-0.050915983,1.162588,7.6804247,-7.6804247,0.08222914,1.0,0.0007322875022888184,871.5972006320953,270000
