training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
7.7512417,-7.7512417,0.099933356,1.0,0.065961994,-0.08275259,1.9534668,7.7634854,-7.7634854,0.10299432,1.0,0.04928623037338257,246.43116331100464,5000
7.6966867,-7.6966867,0.08629468,1.0,0.053763784,-0.07164432,1.5084727,7.7303324,-7.7303324,0.09470609,1.0,0.0007037731170654297,249.95003247261047,10000
7.704494,-7.704494,0.08824648,1.0,0.04952949,-0.061121903,1.4580096,7.730318,-7.730318,0.09470251,1.0,0.0007079543590545654,253.4898076057434,15000
7.6892796,-7.6892796,0.084442794,1.0,0.0428217,-0.046357248,1.2326554,7.7038007,-7.7038007,0.08807314,1.0,0.0007065866947174072,257.02274465560913,20000
7.647111,-7.647111,0.073900685,1.0,0.036737926,-0.03153873,1.1345819,7.708384,-7.708384,0.08921893,1.0,0.0007051369190216064,260.54843306541443,25000
7.6433306,-7.6433306,0.07295562,1.0,0.05218563,-0.045208246,1.139922,7.7074475,-7.7074475,0.08898485,1.0,0.0007096168041229248,264.09652042388916,30000
7.649129,-7.649129,0.074405245,1.0,0.05383107,-0.04783008,1.1815721,7.6807566,-7.6807566,0.08231208,1.0,0.0007096773147583008,267.64491057395935,35000
7.644669,-7.644669,0.073290244,1.0,0.038516454,-0.035069082,1.0846577,7.6809416,-7.6809416,0.082358375,1.0,0.0007071070194244385,271.18044924736023,40000
7.6186,-7.6186,0.06677305,1.0,0.034703594,-0.045068968,1.0678247,7.7036676,-7.7036676,0.08803986,1.0,0.0007077169418334961,274.7190375328064,45000
7.638942,-7.638942,0.07185847,1.0,0.039645743,-0.039487388,1.0660315,7.687661,-7.687661,0.08403832,1.0,0.000706092643737793,278.24950432777405,50000
7.615535,-7.615535,0.06600671,1.0,0.04093528,-0.04344543,1.1220808,7.6603055,-7.6603055,0.0771993,1.0,0.0007073344230651855,281.7861797809601,55000
7.612915,-7.612915,0.06535173,1.0,0.031551965,-0.03566943,0.987336,7.6973543,-7.6973543,0.0864616,1.0,0.0007062015056610107,285.3171911239624,60000
7.6042824,-7.6042824,0.06319356,1.0,0.04318467,-0.04416669,1.1217984,7.687581,-7.687581,0.08401827,1.0,0.0007059826850891114,288.84710812568665,65000
7.619631,-7.619631,0.06703064,1.0,0.07894687,-0.04270263,1.1058283,7.681322,-7.681322,0.08245355,1.0,0.000707618761062622,292.385205745697,70000
7.635689,-7.635689,0.07104524,1.0,0.044480715,-0.0459496,1.1836013,7.685499,-7.685499,0.08349769,1.0,0.0007069508552551269,295.91996359825134,75000
7.618152,-7.618152,0.066661015,1.0,0.111560255,-0.046632994,1.2972071,7.676421,-7.676421,0.08122831,1.0,0.000704851770401001,299.44422602653503,80000
7.60048,-7.60048,0.062242977,1.0,0.037352405,-0.05322683,1.0619199,7.679654,-7.679654,0.08203648,1.0,0.0007085011959075928,302.9867353439331,85000
7.6055927,-7.6055927,0.063521124,1.0,0.036148578,-0.041840024,1.0204798,7.6657314,-7.6657314,0.07855588,1.0,0.0007087938785552978,306.53070878982544,90000
7.611396,-7.611396,0.06497196,1.0,0.0428002,-0.067105696,1.1020273,7.665828,-7.665828,0.07858002,1.0,0.000708039903640747,310.07091188430786,95000
7.5927753,-7.5927753,0.060316727,1.0,0.057126563,-0.07970647,1.1924497,7.683133,-7.683133,0.08290633,1.0,0.0007074396133422852,313.6081132888794,100000
7.619569,-7.619569,0.067015246,1.0,0.0525421,-0.0565274,1.1672037,7.650336,-7.650336,0.07470691,1.0,0.04267474660873413,526.9818513393402,105000
7.5971174,-7.5971174,0.061402306,1.0,0.063311785,-0.044754855,1.1043823,7.6890783,-7.6890783,0.08439259,1.0,0.0007409538269042969,530.6866238117218,110000
7.601683,-7.601683,0.06254375,1.0,0.064869665,-0.073094144,1.1674933,7.701224,-7.701224,0.08742891,1.0,0.0007417138576507568,534.3951961994171,115000
7.5886965,-7.5886965,0.05929722,1.0,0.050000854,-0.054562386,1.0862249,7.6628513,-7.6628513,0.07783584,1.0,0.0007433564662933349,538.1119825839996,120000
7.6151133,-7.6151133,0.06590134,1.0,0.057197645,-0.061572503,1.1555133,7.6806335,-7.6806335,0.08228138,1.0,0.0007459163188934326,541.8415675163269,125000
7.5841045,-7.5841045,0.058149036,1.0,0.060471702,-0.060403377,1.093513,7.696554,-7.696554,0.08626157,1.0,0.0007392818450927735,545.5379807949066,130000
7.5906944,-7.5906944,0.05979646,1.0,0.054675594,-0.048939727,1.1114947,7.695845,-7.695845,0.08608423,1.0,0.0007421536445617676,549.2487523555756,135000
7.593425,-7.593425,0.06047915,1.0,0.04919321,-0.062207416,1.1453477,7.6985774,-7.6985774,0.08676735,1.0,0.0007432262897491455,552.9648873806,140000
7.5896616,-7.5896616,0.059538294,1.0,0.040385496,-0.061370425,1.1155022,7.6823306,-7.6823306,0.08270563,1.0,0.0007404559135437012,556.6671705245972,145000
7.587157,-7.587157,0.058912173,1.0,0.05401038,-0.10192316,1.1634101,7.7127676,-7.7127676,0.090314776,1.0,0.0007419779777526856,560.3770639896393,150000
7.588883,-7.588883,0.05934366,1.0,0.09502781,-0.11616429,1.2781005,7.690817,-7.690817,0.084827185,1.0,0.0007384093284606933,564.06911444664,155000
7.590807,-7.590807,0.05982469,1.0,0.06362319,-0.049357455,1.2510308,7.7245517,-7.7245517,0.09326082,1.0,0.0007425239562988281,567.7817378044128,160000
7.607616,-7.607616,0.06402694,1.0,0.05203731,-0.057089847,1.3083469,7.693325,-7.693325,0.085454285,1.0,0.0007441162586212158,571.5023229122162,165000
7.5871916,-7.5871916,0.05892091,1.0,0.101703174,-0.06186121,1.1452783,7.710477,-7.710477,0.08974221,1.0,0.0007410542011260986,575.2075974941254,170000
7.5905385,-7.5905385,0.05975765,1.0,0.047933787,-0.06587536,1.181,7.6682873,-7.6682873,0.07919482,1.0,0.0007446974277496338,578.9310882091522,175000
7.5768247,-7.5768247,0.05632917,1.0,0.04373478,-0.05778872,1.1461535,7.6986,-7.6986,0.08677283,1.0,0.0007397844314575195,582.6300139427185,180000
7.563526,-7.563526,0.05300458,1.0,0.058891017,-0.067069896,1.0799327,7.6892514,-7.6892514,0.084435776,1.0,0.0007382835865020752,586.3214356899261,185000
7.5815177,-7.5815177,0.05750239,1.0,0.06293748,-0.05419343,1.2271936,7.6938095,-7.6938095,0.08557545,1.0,0.0007426340579986572,590.0346097946167,190000
7.5814466,-7.5814466,0.057484515,1.0,0.05895137,-0.03455461,1.0926336,7.67476,-7.67476,0.080812864,1.0,0.0007424910068511963,593.74706864357,195000
7.5727005,-7.5727005,0.05529812,1.0,0.063367255,-0.070560515,1.2744073,7.7056446,-7.7056446,0.08853406,1.0,0.0007402184009552002,597.4481644630432,200000
