training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
5.395755,-5.395755,0.26489264,0.49761105,1.658186,-2.6975045,84.35416,5.3184204,-5.3184204,0.25288463,0.49359316,0.08001807398796082,400.09038043022156,5000
3.0313811,-3.0313811,0.15591586,0.37485197,2.4267945,-3.1019487,120.10089,3.0052834,-3.0052834,0.15103915,0.38053823,0.0008466616630554199,404.32369232177734,10000
1.4924288,-1.4924288,0.11136845,0.32111698,1.890576,-2.2173722,100.88897,2.6567645,-2.6567645,0.136736,0.32325396,0.0007880638599395751,408.2640151977539,15000
1.4714327,-1.4714327,0.10437104,0.29490405,3.8197007,-4.597688,151.05391,1.2938637,-1.2938637,0.10708764,0.2987679,0.0007905033111572265,412.2165353298187,20000
0.84359,-0.84359,0.091252,0.30413347,2.2445138,-2.8501244,94.15964,1.3172722,-1.3172722,0.10181844,0.30812246,0.0007862538814544678,416.1478087902069,25000
1.0637661,-1.0637661,0.10082589,0.29392463,4.2950144,-2.9062521,115.815125,1.2010775,-1.2010775,0.10192551,0.29417735,0.0008426315307617188,420.3609700202942,30000
0.82952064,-0.82952064,0.092707485,0.27931312,3.0150967,-2.6291637,112.6155,1.6594243,-1.6594243,0.10175129,0.2777418,0.000789314079284668,424.3075439929962,35000
0.43384352,-0.43384352,0.08629198,0.27052933,5.249576,-4.5949745,120.03181,0.97930634,-0.97930634,0.09549695,0.27231315,0.0007947657108306885,428.2813763618469,40000
0.2002683,-0.2002683,0.08039498,0.276343,3.0736458,-2.9968858,100.473015,0.8226692,-0.8226692,0.09267519,0.2876346,0.0007948204040527344,432.25548219680786,45000
0.124793835,-0.124793835,0.0753285,0.26668233,2.2030954,-3.099673,99.190445,0.613127,-0.613127,0.09086104,0.26788598,0.0008418595314025879,436.46478366851807,50000
-0.0003684461,0.0003684461,0.07668167,0.25901997,4.0527544,-3.8227983,110.00598,0.79626393,-0.79626393,0.09151686,0.26675674,0.0007927180767059326,440.4283776283264,55000
-0.07221003,0.07221003,0.078105025,0.25664705,3.0034306,-3.457503,99.39262,0.3978513,-0.3978513,0.08364083,0.26691145,0.0007917492389678955,444.3871281147003,60000
0.22420713,-0.22420713,0.08589478,0.27486455,4.5809994,-5.078689,107.65185,0.7347154,-0.7347154,0.085875675,0.274678,0.0008392329692840576,448.5832965373993,65000
-0.22297072,0.22297072,0.07085323,0.24434386,5.1472006,-2.214067,109.96297,0.5298018,-0.5298018,0.08596468,0.25995138,0.0007917403697967529,452.5420024394989,70000
0.07236041,-0.07236041,0.0814078,0.24961409,8.138552,-6.7066197,155.45839,0.38050306,-0.38050306,0.076523796,0.2535707,0.0007905952930450439,456.49498295783997,75000
-0.037049927,0.037049927,0.07754994,0.2527194,3.964293,-3.736718,104.232574,0.5435991,-0.5435991,0.08833991,0.26021895,0.0007933807849884033,460.46189045906067,80000
-0.33327597,0.33327597,0.069003664,0.25113857,3.631926,-4.443631,103.2832,0.4582854,-0.4582854,0.08106573,0.25991634,0.0008363411903381348,464.64359998703003,85000
-0.031589776,0.031589776,0.07966033,0.2550028,9.367555,-4.721217,122.150505,0.16735141,-0.16735141,0.0766576,0.2558097,0.0007916333198547364,468.6017701625824,90000
